Date of Transaction,Transaction Amount,Account Name,TransactionID,Transaction Type,Location (City),Alert Category,Account Number,Status,Current Balance
2024-09-29,-2809,Account 37773,T138456,Transfer out,New Martinmouth,Investment Scam,9126450363,No Risk,0
2024-01-29,-6849,Account 102228,T460958,Transfer out,Port Markmouth,Tax Evasion,8800220452,No Risk,0
2024-07-09,-2294,Account 103614,T594044,Transfer out,Christopherview,Fraud,4483501969,Risk,0
2024-10-21,-2391,Account 3502,T649855,Transfer out,Lake John,Tax Evasion,8106377271,No Risk,0
2024-02-27,-1855,Account 54204,T149000,Transfer out,West Seanport,Tax Evasion,2721407911,Risk,0
2024-06-23,-3506,Account 72379,T620210,Transfer out,South Russell,Money Laundering,9689378973,No Risk,0
2024-05-10,-6124,Account 79954,T228967,Transfer out,Rebeccahaven,Tax Evasion,9087984391,No Risk,1502
2024-07-30,-7601,Account 67230,T643253,Transfer out,West Ernesthaven,Fraud,8929522080,No Risk,0
2024-04-28,-9796,Account 14505,T401350,Transfer out,Peterchester,Money Laundering,1343006736,No Risk,7803
2024-12-07,-421,Account 43895,T420291,Transfer out,New Bradley,Investment Scam,9113797521,Risk,0
2024-10-02,-5586,Account 22439,T912316,Transfer out,Fostermouth,Investment Scam,7243057744,No Risk,2776
2024-06-07,-865,Account 83635,T818425,Transfer out,New Elizabeth,Tax Evasion,3198772068,No Risk,0
2024-03-31,-7083,Account 90648,T621878,Transfer out,New Coryhaven,Investment Scam,3153473043,No Risk,196
2024-12-06,-7124,Account 76957,T593232,Transfer out,Brightfort,Fraud,7239545055,Risk,4678
2024-11-18,-1982,Account 18908,T973093,Transfer out,Matthewtown,Tax Evasion,1670275939,No Risk,795
2024-03-27,-2557,Account 103187,T745836,Transfer out,Sherylmouth,Investment Scam,6179721596,No Risk,0
2024-09-06,-1903,Account 92630,T472418,Transfer out,Curtisshire,Fraud,7903086388,No Risk,0
2024-12-31,-8563,Account 61403,T923128,Transfer out,West Richardside,Investment Scam,9792208399,No Risk,667
2024-10-19,-5958,Account 107501,T953277,Transfer out,Dennisfurt,Investment Scam,2374135436,No Risk,3235
2024-12-15,-9452,Account 59277,T640960,Transfer out,Johnsonton,Tax Evasion,1955238863,No Risk,6916
2024-08-21,-9455,Account 32120,T774894,Transfer out,Millershire,Investment Scam,3257040270,No Risk,9346
2024-03-06,-1323,Account 53573,T332854,Transfer out,Tiffanystad,Money Laundering,8774790327,No Risk,0
2024-12-14,-5864,Account 73035,T426921,Transfer out,Samueltown,Tax Evasion,7640673349,No Risk,417
2025-01-11,-9497,Account 30649,T277360,Transfer out,Lake Troy,Fraud,7866275419,No Risk,1851
2024-09-20,-670,Account 59295,T227240,Transfer out,Williamshire,Fraud,1086881926,No Risk,0
2024-05-03,-5188,Account 17281,T989262,Transfer out,Millerfort,Tax Evasion,2716278516,No Risk,2293
2024-06-25,-2394,Account 25774,T552494,Transfer out,Port Amanda,Investment Scam,4521867462,No Risk,0
2024-10-02,-2820,Account 48989,T777583,Transfer out,Mathewsmouth,Money Laundering,6780405280,No Risk,0
2024-10-21,-1070,Account 10598,T445653,Transfer out,Thomasfurt,Investment Scam,9029902166,Risk,0
2024-07-02,-5659,Account 88061,T445633,Transfer out,Jonesmouth,Investment Scam,2024446293,Risk,0
2024-11-12,-3744,Account 77118,T187323,Transfer out,Davidmouth,Money Laundering,1081413233,No Risk,0
2024-07-29,-2140,Account 93867,T930296,Transfer out,Josephfort,Fraud,7299783761,No Risk,0
2024-02-22,-3906,Account 83135,T856148,Transfer out,Marshallview,Money Laundering,5660541397,No Risk,763
2024-10-06,-8601,Account 37385,T419233,Transfer out,East Kevinport,Tax Evasion,3619550381,Risk,2793
2024-02-21,-3400,Account 30624,T111085,Transfer out,West Matthewton,Money Laundering,2624788731,No Risk,849
2024-03-26,-1121,Account 81134,T355958,Transfer out,Port Gabrielville,Investment Scam,8418206370,Risk,0
2024-12-16,-4702,Account 8249,T536850,Transfer out,South Lauren,Fraud,9915296161,Risk,477
2024-01-16,-4288,Account 62448,T652295,Transfer out,Dianemouth,Fraud,2433808855,No Risk,0
2024-01-27,-124,Account 914,T410618,Transfer out,Bretthaven,Tax Evasion,9190195858,No Risk,0
2024-02-14,-1925,Account 89720,T857742,Transfer out,Powellchester,Money Laundering,3893512594,No Risk,1297
2024-05-08,-1324,Account 872,T604300,Transfer out,Jeffreyport,Investment Scam,7229664839,No Risk,0
2024-12-29,-7366,Account 80306,T216176,Transfer out,West Zachary,Investment Scam,5208577859,Risk,4524
2024-09-15,-4743,Account 61383,T401730,Transfer out,Lake Laura,Investment Scam,2329044644,No Risk,0
2024-10-07,-4857,Account 19223,T334799,Transfer out,Caitlynstad,Money Laundering,5590334187,No Risk,2204
2024-11-28,-3119,Account 12120,T492522,Transfer out,Suzanneshire,Investment Scam,9832209451,No Risk,0
2025-01-05,-449,Account 271,T807919,Transfer out,East Michael,Investment Scam,6149345366,Risk,0
2024-11-10,-419,Account 73109,T692229,Transfer out,Mossshire,Money Laundering,4475469174,No Risk,0
2024-02-28,-9202,Account 81406,T801518,Transfer out,Port Deniseton,Fraud,2909731310,No Risk,1347
2024-12-29,-2105,Account 103538,T720603,Transfer out,Harperfort,Fraud,3256635721,No Risk,0
2024-09-12,-7369,Account 84380,T381856,Transfer out,West Williamstad,Money Laundering,4128438422,No Risk,189
2024-07-19,-7487,Account 21981,T514743,Transfer out,North Edwardborough,Money Laundering,2725271786,No Risk,0
2024-06-14,-9969,Account 10218,T683258,Transfer out,East Cynthia,Investment Scam,4966449210,No Risk,2769
2024-02-29,-3322,Account 23375,T616650,Transfer out,East Aaronchester,Tax Evasion,1393582083,No Risk,0
2024-02-21,-958,Account 68637,T372795,Transfer out,Torresview,Fraud,8386331799,No Risk,0
2024-10-16,-538,Account 78139,T987293,Transfer out,Port Katrina,Money Laundering,6447090184,Risk,0
2024-10-14,-1896,Account 102508,T298738,Transfer out,New Ashley,Fraud,4823143415,No Risk,0
2024-01-24,-6132,Account 75897,T502788,Transfer out,Castrohaven,Investment Scam,4907069838,No Risk,0
2024-02-02,-2806,Account 81180,T514873,Transfer out,West Kimberlyburgh,Money Laundering,2267089717,No Risk,0
2024-05-15,-7791,Account 20355,T977265,Transfer out,North George,Money Laundering,1703932757,No Risk,7210
2024-11-28,-2380,Account 83682,T444007,Transfer out,Sloanberg,Tax Evasion,5413418457,Risk,0
2024-04-28,-3442,Account 52922,T588887,Transfer out,Andrewbury,Investment Scam,5606047551,No Risk,2985
2024-08-04,-9226,Account 81752,T906374,Transfer out,Davisbury,Fraud,2335957992,Risk,0
2024-10-23,-3999,Account 104398,T802047,Transfer out,North Robertchester,Tax Evasion,4688174688,Risk,0
2024-03-16,-4914,Account 64782,T463370,Transfer out,Port Stephaniebury,Investment Scam,5485737996,Risk,0
2024-08-22,-147,Account 49853,T754539,Transfer out,West Mary,Tax Evasion,9745027068,No Risk,0
2024-05-05,-280,Account 84892,T102213,Transfer out,Jacobborough,Investment Scam,6228002248,No Risk,0
2024-08-29,-220,Account 90969,T452092,Transfer out,Port Antonioton,Tax Evasion,5925658975,No Risk,0
2024-10-18,-8613,Account 60415,T979392,Transfer out,Port Charles,Money Laundering,6402576275,No Risk,1417
2024-02-05,-7950,Account 7313,T938056,Transfer out,Carrtown,Investment Scam,9997035365,No Risk,1369
2024-01-20,-8726,Account 106394,T466334,Transfer out,Lake Stephenview,Money Laundering,5180813442,No Risk,478
2024-07-19,-6914,Account 25282,T969552,Transfer out,Smithfort,Tax Evasion,1698482825,No Risk,0
2024-08-16,-5815,Account 41675,T208481,Transfer out,Harriston,Fraud,1053936280,No Risk,0
2024-01-27,-650,Account 18103,T673393,Transfer out,Thomasborough,Fraud,6093023758,No Risk,0
2024-08-26,-9693,Account 36970,T995340,Transfer out,Williambury,Money Laundering,8873368360,No Risk,3913
2024-02-13,-3290,Account 24039,T932939,Transfer out,Campbellton,Fraud,5735336178,No Risk,1062
2024-02-14,-1064,Account 23202,T379240,Transfer out,Port Chloe,Investment Scam,8019531207,No Risk,0
2024-07-20,-7334,Account 5082,T438668,Transfer out,Olsenfurt,Fraud,1687837906,No Risk,2132
2024-07-21,-6039,Account 19958,T614971,Transfer out,South Rebecca,Money Laundering,8371433513,No Risk,5957
2024-12-08,-3508,Account 21609,T718934,Transfer out,West Jesse,Fraud,5124971735,No Risk,1144
2024-03-19,-5297,Account 54217,T226562,Transfer out,New Danielle,Money Laundering,2798725859,No Risk,0
2024-07-12,-6260,Account 72326,T454444,Transfer out,New Ashley,Investment Scam,2493366039,No Risk,5668
2024-03-20,-3638,Account 97159,T820133,Transfer out,Alexandraville,Tax Evasion,9834084329,No Risk,0
2024-07-06,-5621,Account 66947,T871568,Transfer out,Priceland,Money Laundering,4663725184,No Risk,2427
2024-01-16,-2061,Account 22494,T362994,Transfer out,East Aaronmouth,Money Laundering,2354957906,No Risk,0
2024-06-19,-5441,Account 16367,T766777,Transfer out,New Justin,Fraud,2756199021,No Risk,158
2024-06-08,-6489,Account 75284,T762732,Transfer out,Brucestad,Investment Scam,4017523459,Risk,4303
2024-04-29,-8716,Account 34344,T298295,Transfer out,Masonbury,Money Laundering,9293918160,No Risk,5053
2024-04-05,-3923,Account 78179,T609384,Transfer out,New Sean,Tax Evasion,3260050476,No Risk,0
2024-02-21,-5631,Account 62967,T735767,Transfer out,Pamelamouth,Investment Scam,7892078054,No Risk,0
2024-08-23,-311,Account 100674,T399836,Transfer out,West Lauraburgh,Investment Scam,4741049854,No Risk,0
2024-01-22,-9485,Account 106116,T462012,Transfer out,New Andrewville,Tax Evasion,1700391584,Risk,1158
2024-07-01,-3484,Account 72727,T677764,Transfer out,New Michaela,Investment Scam,9598129489,Risk,3221
2024-10-26,-9648,Account 88865,T840394,Transfer out,Higginsstad,Tax Evasion,9300720386,Risk,5045
2024-04-24,-5793,Account 48857,T867699,Transfer out,West Joanna,Money Laundering,8443495147,No Risk,0
2024-01-24,-9364,Account 68498,T446007,Transfer out,Meganchester,Tax Evasion,8085633775,No Risk,1757
2024-08-11,-2518,Account 79756,T887302,Transfer out,Johnsonborough,Investment Scam,8624493319,No Risk,135
2024-05-08,-779,Account 67322,T827627,Transfer out,Elizabethfurt,Fraud,6363259332,No Risk,0
2024-10-06,-4793,Account 92946,T369141,Transfer out,West Erin,Money Laundering,4220226756,No Risk,1
2024-06-03,-2090,Account 230,T435318,Transfer out,Edwardsburgh,Fraud,9378780464,No Risk,0
2024-08-04,-4789,Account 37584,T807523,Transfer out,Lake Danielleton,Money Laundering,5450428984,No Risk,4376
2024-12-28,-6631,Account 20334,T550279,Transfer out,Timberg,Investment Scam,1282856031,Risk,182
2024-03-13,-1176,Account 73551,T613880,Transfer out,North Timothy,Investment Scam,2290140327,No Risk,0
2024-05-14,-1335,Account 8571,T351368,Transfer out,North Richard,Fraud,4637008241,No Risk,0
2024-07-25,-9,Account 41441,T878239,Transfer out,Thomasfurt,Money Laundering,3312821612,Risk,0
2024-12-29,-7258,Account 7714,T934672,Transfer out,Isaiahfort,Money Laundering,6926323300,Risk,6165
2024-03-13,-150,Account 51531,T264096,Transfer out,Delgadohaven,Fraud,7363019557,Risk,0
2024-08-10,-3040,Account 104630,T295330,Transfer out,Debbieville,Fraud,7995673255,No Risk,0
2024-11-23,-8229,Account 15644,T981030,Transfer out,Brockberg,Tax Evasion,9717369862,No Risk,1866
2024-12-22,-9264,Account 53838,T609421,Transfer out,Fernandezmouth,Fraud,8764141361,No Risk,2795
2024-06-02,-5315,Account 31584,T371395,Transfer out,Amandafurt,Fraud,4094869385,No Risk,1613
2024-11-29,-6474,Account 14248,T530300,Transfer out,North Roger,Money Laundering,5407734682,No Risk,718
2024-04-19,-8808,Account 8240,T116574,Transfer out,Danielburgh,Money Laundering,4461528144,No Risk,1700
2024-08-11,-2656,Account 44593,T301229,Transfer out,North Rhondaborough,Fraud,2985161674,No Risk,0
2024-06-07,-1453,Account 92630,T480057,Transfer out,Lake Kim,Money Laundering,7903086388,No Risk,0
2024-03-18,-3308,Account 12151,T266105,Transfer out,South Brittany,Tax Evasion,5214426452,No Risk,307
2024-06-30,-962,Account 29553,T493563,Transfer out,Sharonfort,Tax Evasion,9852191077,No Risk,0
2024-10-02,-1674,Account 99762,T487098,Transfer out,Terryville,Investment Scam,3404436053,No Risk,0
2024-07-30,-7403,Account 72848,T618199,Transfer out,Kellybury,Fraud,7839110428,No Risk,0
2024-03-07,-5272,Account 75762,T511873,Transfer out,West Elizabethborough,Tax Evasion,6575536524,No Risk,3451
2024-01-30,-5552,Account 81029,T781086,Transfer out,Bobbyfort,Tax Evasion,5037070580,No Risk,0
2024-11-08,-7695,Account 79425,T107377,Transfer out,Williamsberg,Money Laundering,3797955611,No Risk,2805
2024-10-12,-1769,Account 61536,T251409,Transfer out,North Kristen,Fraud,7576387358,Risk,1739
2024-02-07,-7200,Account 42380,T396489,Transfer out,North Brandonland,Fraud,3246930159,No Risk,6632
2024-09-28,-3914,Account 28323,T678132,Transfer out,Port Andrewmouth,Tax Evasion,3522014008,No Risk,1849
2024-05-06,-7974,Account 60394,T290507,Transfer out,Mercedesside,Fraud,2164466475,No Risk,2752
2024-03-29,-5863,Account 19760,T345937,Transfer out,Huangport,Investment Scam,1113808829,No Risk,0
2025-01-01,-4752,Account 59795,T621054,Transfer out,Lyonsport,Tax Evasion,2804666086,No Risk,0
2024-05-18,-7635,Account 46463,T486444,Transfer out,North Ronaldhaven,Tax Evasion,1637351003,No Risk,0
2024-02-17,-5932,Account 39254,T185976,Transfer out,West Robin,Money Laundering,3000145683,Risk,473
2024-01-27,-2080,Account 19423,T197653,Transfer out,Josephfurt,Fraud,4898586277,Risk,0
2024-07-18,-3336,Account 4360,T717042,Transfer out,Campbellberg,Fraud,6559935995,No Risk,0
2024-10-04,-2484,Account 19249,T958412,Transfer out,Mckinneyburgh,Investment Scam,7529778424,Risk,0
2024-05-14,-4844,Account 95749,T108548,Transfer out,East Pamela,Investment Scam,3834344222,No Risk,0
2024-11-16,-9710,Account 64148,T173237,Transfer out,Grantland,Fraud,3259305764,Risk,9478
2024-11-25,-6563,Account 36375,T390610,Transfer out,Oliviaport,Tax Evasion,6797739913,No Risk,3194
2024-02-14,-4881,Account 1578,T689382,Transfer out,Owenschester,Investment Scam,2882536284,Risk,3390
2024-08-06,-8400,Account 78757,T302871,Transfer out,Louisview,Money Laundering,3294718357,Risk,3606
2024-06-04,-4322,Account 96377,T730302,Transfer out,Lindsayfurt,Investment Scam,7829732802,No Risk,3595
2024-09-13,-4668,Account 64256,T733270,Transfer out,West Melinda,Money Laundering,8028753787,Risk,0
2024-10-14,-4406,Account 15021,T468003,Transfer out,Rebeccaview,Fraud,3149345489,Risk,0
2024-04-13,-644,Account 63633,T675272,Transfer out,New Carrie,Money Laundering,3828723158,No Risk,48
2024-08-25,-3492,Account 56494,T669122,Transfer out,Sototon,Money Laundering,7583368748,No Risk,0
2024-11-21,-4795,Account 67594,T693743,Transfer out,East Masonville,Fraud,2702699010,No Risk,0
2024-04-15,-6282,Account 86486,T895254,Transfer out,Millerville,Fraud,4223747778,No Risk,3959
2024-11-13,-1587,Account 29576,T259726,Transfer out,Port Jessicahaven,Fraud,7854083169,No Risk,0
2024-03-26,-285,Account 20147,T246587,Transfer out,Stewartmouth,Money Laundering,6537492849,No Risk,0
2024-10-08,-1995,Account 101554,T838420,Transfer out,Laurachester,Investment Scam,2605189364,No Risk,0
2024-06-29,-45,Account 73754,T738946,Transfer out,Perezside,Fraud,1874253731,No Risk,0
2024-11-11,-968,Account 30799,T232882,Transfer out,Herringshire,Tax Evasion,5048407267,No Risk,0
2024-11-06,-1628,Account 80159,T151520,Transfer out,Liustad,Investment Scam,9423480782,Risk,0
2024-09-03,-3440,Account 65986,T324318,Transfer out,Lake Matthew,Investment Scam,6764783160,No Risk,0
2024-04-15,-2026,Account 81327,T685711,Transfer out,West Gregoryview,Money Laundering,6293751065,Risk,0
2024-02-23,-658,Account 74415,T791971,Transfer out,South Jamesport,Fraud,8406478125,No Risk,0
2024-03-03,-18,Account 45174,T529104,Transfer out,New Justin,Fraud,1396551055,No Risk,0
2024-08-25,-5837,Account 82427,T941066,Transfer out,Lake Jennifer,Investment Scam,4326677938,No Risk,0
2024-08-27,-5460,Account 94975,T976436,Transfer out,South Anne,Fraud,2244538747,No Risk,1197
2024-09-26,-4859,Account 5350,T820175,Transfer out,North James,Tax Evasion,7025233356,Risk,0
2024-04-04,-3635,Account 82335,T904676,Transfer out,Port Lynn,Money Laundering,2504824990,No Risk,0
2024-10-29,-6537,Account 99371,T948914,Transfer out,Jacobsfort,Fraud,3112943247,No Risk,3033
2024-07-12,-4467,Account 51105,T981021,Transfer out,Ashleyberg,Investment Scam,6537431949,No Risk,0
2024-04-03,-7199,Account 20702,T679239,Transfer out,North Aliciachester,Money Laundering,3350104515,No Risk,408
2024-06-29,-524,Account 29815,T365093,Transfer out,Jacksonhaven,Money Laundering,5664198598,Risk,0
2024-10-28,-6545,Account 82386,T588967,Transfer out,North Billymouth,Money Laundering,5046283740,Risk,5175
2024-10-22,-3661,Account 72726,T372517,Transfer out,West Jenniferfort,Tax Evasion,3803780159,No Risk,1248
2025-01-09,-5042,Account 36721,T819919,Transfer out,North Michael,Investment Scam,5323258738,No Risk,5039
2024-04-03,-8672,Account 62643,T995340,Transfer out,Johnfort,Money Laundering,6356855929,No Risk,6309
2024-10-25,-3776,Account 38786,T597727,Transfer out,New Amanda,Fraud,4627109060,No Risk,3620
2024-10-09,-1852,Account 86010,T311495,Transfer out,Tonihaven,Tax Evasion,1737178721,No Risk,0
2024-06-01,-8736,Account 31375,T209078,Transfer out,West Sandra,Fraud,8074289341,No Risk,7253
2024-10-16,-6938,Account 78141,T123416,Transfer out,Wrightland,Tax Evasion,6565596365,No Risk,996
2024-12-14,-3241,Account 87601,T467420,Transfer out,Stephanieland,Tax Evasion,7245079742,Risk,0
2024-08-19,-1963,Account 44383,T936310,Transfer out,Wilkinsmouth,Fraud,5803754362,Risk,0
2025-01-05,-7855,Account 523,T176724,Transfer out,Sancheztown,Tax Evasion,9362680763,No Risk,6082
2024-08-17,-2602,Account 103085,T856904,Transfer out,Barkerland,Money Laundering,2757749234,No Risk,0
2024-11-30,-3123,Account 56123,T807119,Transfer out,New Andreatown,Fraud,3197583295,No Risk,0
2024-03-16,-3719,Account 33207,T113213,Transfer out,Riddlemouth,Tax Evasion,6824348040,No Risk,0
2024-11-14,-7019,Account 61333,T847926,Transfer out,Wallaceton,Tax Evasion,2635272584,No Risk,0
2024-05-23,-526,Account 66882,T672145,Transfer out,Port Adrian,Investment Scam,4689232512,No Risk,0
2024-10-21,-2724,Account 95865,T958322,Transfer out,Sandovalmouth,Money Laundering,7685759876,Risk,97
2024-07-17,-1816,Account 31226,T386954,Transfer out,Robertsonbury,Money Laundering,7047512978,No Risk,811
2024-10-09,-4319,Account 32774,T869153,Transfer out,Sharonhaven,Tax Evasion,9567252074,No Risk,4121
2024-08-03,-9236,Account 44197,T776439,Transfer out,Mccartyview,Tax Evasion,8589956979,No Risk,2457
2024-06-20,-5146,Account 65550,T539410,Transfer out,New Richard,Money Laundering,9563758285,No Risk,2028
2024-04-21,-4156,Account 85259,T765983,Transfer out,Michellemouth,Money Laundering,1606304790,No Risk,0
2024-12-22,-9125,Account 71188,T505633,Transfer out,West Joshua,Fraud,6398172474,No Risk,4039
2024-01-27,-2511,Account 21953,T103712,Transfer out,South Andrea,Investment Scam,8168621053,No Risk,0
2024-07-11,-203,Account 12998,T787362,Transfer out,South Jennifer,Tax Evasion,4359148065,No Risk,0
2025-01-14,-6837,Account 87471,T620285,Transfer out,Hawkinsberg,Investment Scam,8019902946,No Risk,0
2024-07-17,-5921,Account 2011,T609904,Transfer out,Hartfurt,Investment Scam,8657303705,No Risk,2204
2024-05-25,-7335,Account 99810,T103561,Transfer out,Turnertown,Money Laundering,4957990633,Risk,6594
2024-07-11,-1398,Account 73594,T151332,Transfer out,Hallchester,Fraud,7254987527,Risk,0
2024-11-26,-2906,Account 90577,T492168,Transfer out,Mcdowellport,Tax Evasion,6648550461,Risk,2741
2024-07-16,-1098,Account 45139,T641255,Transfer out,Williamsmouth,Tax Evasion,6280015861,No Risk,0
2024-08-24,-2920,Account 70899,T963297,Transfer out,North Michael,Fraud,3930205233,No Risk,0
2024-01-28,-5908,Account 74037,T711719,Transfer out,North Pennyville,Tax Evasion,9546593598,Risk,0
2024-09-30,-9614,Account 60405,T488733,Transfer out,Lake Connor,Tax Evasion,4593924462,No Risk,4251
2024-03-30,-685,Account 99394,T782299,Transfer out,North Carlaland,Fraud,9924072983,No Risk,0
2024-10-14,-2695,Account 19082,T911842,Transfer out,North Ianbury,Fraud,6787173823,No Risk,0
2024-07-28,-3413,Account 100828,T216285,Transfer out,Lake Thomasmouth,Investment Scam,6375321434,No Risk,0
2024-04-25,-3887,Account 83012,T835513,Transfer out,Lake Albertport,Fraud,7318435470,No Risk,0
2024-12-05,-6243,Account 49843,T396946,Transfer out,Taylorbury,Money Laundering,8341156932,No Risk,3064
2024-03-17,-7468,Account 67241,T482562,Transfer out,East Michaeltown,Money Laundering,1249849367,No Risk,3994
2024-05-07,-5017,Account 49127,T875139,Transfer out,Barajasbury,Investment Scam,6489049766,No Risk,4043
2024-01-24,-8756,Account 85516,T942770,Transfer out,East Christopher,Investment Scam,5705089276,No Risk,1210
2024-06-13,-771,Account 76185,T369572,Transfer out,South Anthony,Fraud,9305905282,No Risk,0
2024-12-10,-9839,Account 32943,T640979,Transfer out,Gregorytown,Fraud,1814054819,No Risk,6614
2025-01-04,-523,Account 82906,T721417,Transfer out,Tonyborough,Investment Scam,7252344364,No Risk,0
2024-06-18,-7107,Account 101508,T445319,Transfer out,North Matthew,Investment Scam,2534129142,No Risk,808
2024-02-08,-9719,Account 89936,T850286,Transfer out,Foxborough,Money Laundering,7090579255,No Risk,338
2024-11-20,-6007,Account 48964,T628459,Transfer out,Hardington,Fraud,8695755416,No Risk,0
2024-07-22,-3066,Account 80819,T555010,Transfer out,Rogerbury,Money Laundering,5819699692,No Risk,2201
2024-09-21,-6602,Account 99072,T493431,Transfer out,Port Gina,Money Laundering,7789451682,No Risk,4800
2024-09-29,-9647,Account 17631,T440672,Transfer out,North Jamiefurt,Investment Scam,5789358719,No Risk,2307
2024-03-04,-5781,Account 8187,T811095,Transfer out,Galvanton,Fraud,3777443979,Risk,2680
2024-10-11,-2325,Account 24892,T977944,Transfer out,New Philip,Investment Scam,5495480261,No Risk,0
2024-08-19,-8752,Account 23597,T549651,Transfer out,Robertberg,Money Laundering,9693316522,No Risk,4425
2024-09-12,-5874,Account 76775,T195027,Transfer out,Tanyaburgh,Investment Scam,1487753448,No Risk,0
2024-02-17,-9294,Account 53102,T826041,Transfer out,Stephaniefort,Money Laundering,2453119979,No Risk,8671
2024-09-26,-1665,Account 50991,T956350,Transfer out,Johnsonburgh,Fraud,5481561410,No Risk,0
2024-06-18,-6557,Account 31683,T572810,Transfer out,Mcleanland,Fraud,2435160679,No Risk,6135
2024-07-09,-6077,Account 106854,T282396,Transfer out,East Luke,Fraud,6208661999,No Risk,4968
2024-01-25,-3646,Account 94088,T817495,Transfer out,Middletonburgh,Tax Evasion,1804231503,No Risk,0
2024-04-18,-5007,Account 6108,T715487,Transfer out,New Tyrone,Investment Scam,4801633867,No Risk,4797
2024-07-07,-5110,Account 7082,T146034,Transfer out,Jessicaview,Tax Evasion,8184230493,No Risk,0
2024-12-28,-2921,Account 83224,T380779,Transfer out,West Toddberg,Tax Evasion,9806319251,Risk,1082
2024-12-08,-1462,Account 11315,T121549,Transfer out,West Michaelhaven,Money Laundering,4012576564,No Risk,0
2024-03-24,-7847,Account 90145,T597247,Transfer out,South Jamesfort,Money Laundering,3365495404,No Risk,628
2024-04-25,-1353,Account 6020,T152421,Transfer out,Port Johnville,Money Laundering,4236160776,No Risk,0
2024-12-23,-1758,Account 87106,T913664,Transfer out,Mcbridehaven,Fraud,8499630209,No Risk,0
2024-03-27,-7898,Account 44798,T702239,Transfer out,South Katherinestad,Investment Scam,2546586582,No Risk,7023
2024-10-12,-8270,Account 116,T738429,Transfer out,Port William,Investment Scam,3623683631,No Risk,0
