Date of Transaction,Analyst Name,TransactionID,Account Number,Stage,Status,Transaction Amount,Alert Category
2024-07-14,Donna Snow,T903674,4032711046,Closed-Risk,Risk,1265,Tax Evasion
2024-06-20,Samuel Barry,T645187,4404342149,Closed-Risk,Risk,5506,Tax Evasion
2024-12-16,Jeffrey Moore,T656404,8888235373,Closed-No Risk,Risk,202,Money Laundering
2024-10-03,Ashley Orr,T724625,6721046717,In Progress,Risk,-5081,Tax Evasion
2024-07-22,Nicole Long,T132433,3356536026,In Progress,Risk,9836,Fraud
2024-11-22,Christine Davis,T570057,4292760571,Closed-Risk,Risk,2548,Fraud
2024-04-22,Melissa Holt,T534446,1968080209,Closed-Risk,Risk,9313,Tax Evasion
2024-04-05,Nicole Long,T755092,4058952547,Closed-No Risk,Risk,-8286,Investment Scam
2024-09-01,Kari Rhodes,T139203,1347726714,Closed-No Risk,Risk,-9511,Investment Scam
2024-07-03,Kari Rhodes,T191854,4638509455,Closed-Risk,Risk,4376,Tax Evasion
2024-01-29,Sheila Brown,T364376,8182410802,Closed-No Risk,Risk,-9527,Money Laundering
2024-09-24,Ashley Orr,T802607,4991856948,Closed-Risk,Risk,-6474,Tax Evasion
2024-09-11,Samuel Barry,T287636,6674626369,Closed-Risk,Risk,-1692,Tax Evasion
2024-03-12,Martha Anderson,T620195,9448954423,Closed-No Risk,Risk,2120,Fraud
2024-10-02,Kathleen Raymond,T852426,2103465155,In Progress,Risk,4259,Investment Scam
2024-03-08,Ryan Mejia,T211515,1389504101,Closed-Risk,Risk,2160,Money Laundering
2024-10-18,Martha Anderson,T657336,6071856495,In Progress,Risk,-7532,Tax Evasion
2024-05-08,Ryan Mejia,T987468,7477521377,Closed-Risk,Risk,-3769,Tax Evasion
2024-11-22,Martha Anderson,T500852,9023464222,In Progress,Risk,-1948,Investment Scam
2024-02-07,Jeffrey Moore,T776017,2852892998,Closed-Risk,Risk,7537,Investment Scam
2024-05-24,Martha Anderson,T189066,5009941086,In Progress,Risk,-1747,Investment Scam
2024-01-24,Kathleen Raymond,T877937,1911073340,Closed-Risk,Risk,6840,Fraud
2024-05-26,Ryan Mejia,T781336,8836140962,Closed-No Risk,Risk,-7999,Tax Evasion
2024-10-26,Martha Anderson,T543868,2594343281,Closed-No Risk,Risk,1629,Investment Scam
2024-07-26,William Melton,T812778,6793784154,In Progress,Risk,-9887,Investment Scam
2024-01-22,Samuel Barry,T633638,9696876661,In Progress,Risk,5943,Tax Evasion
2024-04-01,Samuel Barry,T951862,5392903700,In Progress,Risk,-5253,Investment Scam
2024-11-30,Donna Snow,T227465,4371569703,Closed-No Risk,Risk,-1551,Money Laundering
2024-11-14,Whitney Wilson,T162994,4050726555,In Progress,Risk,-8899,Fraud
2024-05-27,Martha Anderson,T267690,3843508654,In Progress,Risk,-3395,Money Laundering
2024-11-16,Kathleen Raymond,T250052,7158334280,Closed-No Risk,Risk,-9451,Tax Evasion
2024-08-19,Melissa Holt,T597233,2814782903,In Progress,Risk,9084,Money Laundering
2024-07-09,Ryan Mejia,T589309,7440841883,In Progress,Risk,9563,Tax Evasion
2024-10-23,Sheila Brown,T385495,7601982732,Closed-No Risk,Risk,-9587,Tax Evasion
2024-02-04,Donna Snow,T216619,6858426947,In Progress,Risk,4434,Tax Evasion
2024-03-25,Martha Anderson,T650988,6236721406,Closed-Risk,Risk,9693,Money Laundering
2024-07-03,Kathleen Raymond,T424789,2200310591,Closed-Risk,Risk,3605,Money Laundering
2024-07-10,Kari Rhodes,T156111,6559307974,In Progress,Risk,-658,Fraud
2024-11-22,Christine Davis,T733789,7358394259,In Progress,Risk,9163,Money Laundering
2025-01-07,Whitney Wilson,T638884,7500459383,Closed-No Risk,Risk,4363,Tax Evasion
2024-01-17,Kathleen Raymond,T636058,7871748311,In Progress,Risk,535,Money Laundering
2024-09-13,William Melton,T380712,7348951910,Closed-Risk,Risk,-5297,Tax Evasion
2024-01-17,Robin Lowe,T443987,2673045864,Closed-Risk,Risk,-1843,Money Laundering
2025-01-11,Robin Lowe,T372255,9368952463,Closed-Risk,Risk,9155,Tax Evasion
2024-11-26,Martha Anderson,T426231,9825148642,In Progress,Risk,-9446,Tax Evasion
2024-07-26,Martha Anderson,T906668,3496061226,In Progress,Risk,-9977,Fraud
2024-05-15,Martha Anderson,T640605,9150438621,Closed-Risk,Risk,3006,Tax Evasion
2024-07-19,Ashley Orr,T761775,5407734682,Closed-No Risk,Risk,-8703,Investment Scam
2024-03-01,Whitney Wilson,T348920,6612045305,Closed-No Risk,Risk,2953,Investment Scam
2024-07-04,Robin Lowe,T625022,4823409594,Closed-Risk,Risk,-2258,Investment Scam
2024-09-29,Ryan Mejia,T530137,9465630120,In Progress,Risk,-4608,Tax Evasion
2024-10-28,Robin Lowe,T371667,1096558941,Closed-No Risk,Risk,7460,Fraud
2024-12-11,Ashley Orr,T629436,4078454436,In Progress,Risk,-9345,Fraud
2024-05-13,Nicole Long,T145934,3346359571,Closed-Risk,Risk,5057,Tax Evasion
2024-11-20,Kathleen Raymond,T625416,6290919386,In Progress,Risk,-5343,Tax Evasion
2024-08-13,Robin Lowe,T908171,5692723583,Closed-No Risk,Risk,-1373,Money Laundering
2024-01-17,Christine Davis,T223547,6996723687,Closed-Risk,Risk,-8830,Money Laundering
2024-01-30,Samuel Barry,T980480,1659891494,Closed-Risk,Risk,4997,Money Laundering
2025-01-09,Ryan Mejia,T553114,5479877382,In Progress,Risk,456,Money Laundering
2024-01-18,Kathleen Raymond,T527888,2911647072,Closed-No Risk,Risk,-198,Tax Evasion
2024-08-03,Christine Davis,T303592,3198007150,In Progress,Risk,5025,Investment Scam
2024-09-02,Ryan Mejia,T629663,2070431880,Closed-No Risk,Risk,-2546,Money Laundering
2024-07-18,Nicole Long,T801608,4016201703,Closed-No Risk,Risk,6072,Tax Evasion
2024-04-01,Christine Davis,T419343,9499178437,Closed-Risk,Risk,9394,Tax Evasion
2024-06-07,Sheila Brown,T195097,1293500586,Closed-No Risk,Risk,592,Tax Evasion
2024-11-25,William Melton,T560654,4743236199,Closed-Risk,Risk,7029,Money Laundering
2024-08-07,Nicole Long,T694716,6911543723,In Progress,Risk,-4675,Money Laundering
2024-11-30,Christine Davis,T218980,5152477489,Closed-Risk,Risk,-6417,Money Laundering
2024-12-05,Whitney Wilson,T631392,4701247270,In Progress,Risk,-8004,Money Laundering
2024-02-13,Ryan Mejia,T470172,5609114306,Closed-No Risk,Risk,-2463,Investment Scam
2024-07-19,Whitney Wilson,T207393,7575849183,In Progress,Risk,-7189,Investment Scam
2024-03-19,William Melton,T759078,5880092443,Closed-Risk,Risk,5298,Tax Evasion
2024-03-15,Robin Lowe,T260894,1894653797,Closed-Risk,Risk,8852,Money Laundering
2024-02-23,Martha Anderson,T976395,6603981426,Closed-Risk,Risk,-563,Investment Scam
2024-01-17,Samuel Barry,T377199,5448589185,Closed-No Risk,Risk,-7625,Investment Scam
2024-10-11,Jeffrey Moore,T497474,6337854791,In Progress,Risk,-5548,Fraud
2024-06-02,Christine Davis,T223043,3946715305,Closed-Risk,Risk,7662,Money Laundering
2024-04-25,Ryan Mejia,T446506,2216909612,Closed-Risk,Risk,9522,Money Laundering
2024-12-07,Melissa Holt,T350285,8868335163,In Progress,Risk,-8632,Investment Scam
2024-10-27,Kari Rhodes,T319040,2889147736,Closed-No Risk,Risk,-315,Fraud
2024-02-20,Kari Rhodes,T338029,3103778037,Closed-Risk,Risk,-1463,Money Laundering
2024-12-25,Sheila Brown,T500633,8454028499,In Progress,Risk,-2639,Money Laundering
2024-08-02,Melissa Holt,T877534,8432331082,In Progress,Risk,-929,Tax Evasion
2024-07-23,Nicole Long,T307991,1205607327,In Progress,Risk,-798,Tax Evasion
2024-01-23,Nicole Long,T531946,3377481397,Closed-No Risk,Risk,-3704,Fraud
2024-08-13,Ashley Orr,T608395,9647555781,Closed-No Risk,Risk,-7259,Money Laundering
2024-08-05,William Melton,T557382,9181680378,Closed-No Risk,Risk,8887,Investment Scam
2024-06-09,Ryan Mejia,T104373,2906946624,Closed-Risk,Risk,-6147,Tax Evasion
2024-10-03,Christine Davis,T173440,2256070865,Closed-Risk,Risk,6662,Fraud
2024-02-08,Samuel Barry,T152299,7135037329,In Progress,Risk,3856,Investment Scam
2024-06-23,Ryan Mejia,T941475,4586582353,Closed-No Risk,Risk,4200,Investment Scam
2024-04-20,Jeffrey Moore,T374826,4476036214,Closed-Risk,Risk,-2097,Money Laundering
2025-01-13,Sheila Brown,T676131,1003427159,Closed-Risk,Risk,-8074,Investment Scam
2024-03-19,Ashley Orr,T194864,4907501166,Closed-Risk,Risk,-5983,Fraud
2024-06-28,Kari Rhodes,T753271,6053273996,Closed-Risk,Risk,-1385,Fraud
2024-08-02,Robin Lowe,T717883,5630701623,Closed-Risk,Risk,1025,Tax Evasion
2024-01-18,William Melton,T498716,8123514540,Closed-No Risk,Risk,-7285,Tax Evasion
2024-12-16,Donna Snow,T921327,1387697277,Closed-Risk,Risk,-7021,Tax Evasion
2024-12-15,Kathleen Raymond,T195665,2436293416,In Progress,Risk,-581,Money Laundering
2024-01-25,Samuel Barry,T397255,3219274997,Closed-No Risk,Risk,8311,Fraud
2024-12-12,Whitney Wilson,T301084,1411661742,Closed-Risk,Risk,-1643,Investment Scam
2024-11-19,Jeffrey Moore,T387343,9690490961,In Progress,Risk,-7262,Fraud
2024-10-11,Christine Davis,T253829,4486280930,In Progress,Risk,-9854,Tax Evasion
2024-09-17,Kari Rhodes,T840454,9688210276,In Progress,Risk,234,Tax Evasion
2024-08-05,Jeffrey Moore,T783066,5834119146,Closed-Risk,Risk,-1513,Fraud
2024-05-24,Whitney Wilson,T553604,1122145243,In Progress,Risk,9719,Fraud
2024-09-08,Whitney Wilson,T698280,1326308558,Closed-No Risk,Risk,-1938,Money Laundering
2024-05-23,Donna Snow,T907302,2770783138,Closed-No Risk,Risk,4568,Money Laundering
2024-01-19,Christine Davis,T279947,1357934086,Closed-No Risk,Risk,-3101,Fraud
2024-03-28,Kathleen Raymond,T403416,4499716626,In Progress,Risk,-6573,Investment Scam
2024-01-23,Melissa Holt,T153755,4669845769,Closed-No Risk,Risk,-315,Tax Evasion
2025-01-04,William Melton,T369610,7673930275,Closed-No Risk,Risk,2595,Fraud
2024-05-12,Kari Rhodes,T411422,9660806965,In Progress,Risk,7557,Money Laundering
2024-02-19,Robin Lowe,T427724,4263828916,In Progress,Risk,9225,Tax Evasion
2024-02-13,William Melton,T469548,2631115992,Closed-Risk,Risk,-9246,Fraud
2024-01-24,William Melton,T735639,7663646547,Closed-No Risk,Risk,-3417,Money Laundering
2024-07-12,Ryan Mejia,T979570,4775081457,In Progress,Risk,-1420,Money Laundering
2025-01-11,Robin Lowe,T542746,9786016067,In Progress,Risk,8302,Investment Scam
2024-10-09,Nicole Long,T521537,6964754901,Closed-No Risk,Risk,3371,Tax Evasion
2024-02-12,Nicole Long,T676781,6796498068,Closed-Risk,Risk,-3924,Investment Scam
2024-03-18,Whitney Wilson,T668682,5189595400,In Progress,Risk,3277,Fraud
2024-11-28,Ashley Orr,T536420,1007996007,Closed-No Risk,Risk,1553,Tax Evasion
2025-01-13,Sheila Brown,T204084,9029127536,Closed-No Risk,Risk,-9293,Money Laundering
2024-09-24,William Melton,T147109,6254045962,In Progress,Risk,-7598,Fraud
2024-09-11,Melissa Holt,T952048,9437777250,Closed-Risk,Risk,-4608,Fraud
2024-07-15,Donna Snow,T743783,4122315657,In Progress,Risk,4226,Fraud
2024-04-28,Robin Lowe,T549806,7210111948,In Progress,Risk,-8618,Tax Evasion
2024-06-12,Jeffrey Moore,T421137,3595593041,Closed-Risk,Risk,-4791,Investment Scam
2024-09-20,Samuel Barry,T808119,4128216390,In Progress,Risk,-9778,Tax Evasion
2024-02-08,Jeffrey Moore,T605909,7167092583,Closed-No Risk,Risk,2168,Fraud
2024-10-02,Jeffrey Moore,T184331,2018737871,In Progress,Risk,529,Tax Evasion
2024-05-31,Martha Anderson,T162597,1472302899,Closed-Risk,Risk,-5633,Money Laundering
2024-01-31,William Melton,T779186,5400568475,Closed-No Risk,Risk,850,Investment Scam
2025-01-04,Ashley Orr,T233703,6247988084,Closed-No Risk,Risk,-1651,Investment Scam
2024-07-01,Robin Lowe,T618707,2637873282,In Progress,Risk,4276,Tax Evasion
2024-03-18,William Melton,T839229,3621140814,Closed-No Risk,Risk,7324,Investment Scam
2025-01-13,Kathleen Raymond,T797548,6566901684,In Progress,Risk,-2355,Money Laundering
2024-06-19,Kathleen Raymond,T410215,4587236200,In Progress,Risk,1082,Tax Evasion
2024-12-22,Jeffrey Moore,T453236,9401298800,Closed-No Risk,Risk,5013,Tax Evasion
2024-08-19,William Melton,T159815,2771239983,Closed-No Risk,Risk,-303,Investment Scam
2024-06-18,Ashley Orr,T602596,6099556720,In Progress,Risk,-3619,Money Laundering
2024-12-12,Martha Anderson,T698772,2526165422,Closed-No Risk,Risk,4927,Investment Scam
2024-02-29,Christine Davis,T346233,3731877845,In Progress,Risk,5288,Fraud
2024-12-04,Ashley Orr,T695647,2658803113,In Progress,Risk,8064,Investment Scam
2024-11-08,Robin Lowe,T666753,2168121685,Closed-No Risk,Risk,5289,Tax Evasion
2024-02-08,Whitney Wilson,T120702,3142491371,In Progress,Risk,-9175,Fraud
2024-07-16,Samuel Barry,T241105,2054114538,In Progress,Risk,-9589,Money Laundering
2024-05-06,Ryan Mejia,T140403,6022826804,Closed-Risk,Risk,-7413,Tax Evasion
2024-05-10,William Melton,T959969,1985508414,In Progress,Risk,-1989,Investment Scam
2024-10-09,Ryan Mejia,T683508,3617082325,In Progress,Risk,-9684,Money Laundering
2024-04-12,Melissa Holt,T622868,5125288791,In Progress,Risk,-3229,Money Laundering
2024-05-26,Ryan Mejia,T866448,5337786894,Closed-No Risk,Risk,4192,Money Laundering
2024-02-29,Martha Anderson,T383037,4032831853,In Progress,Risk,7694,Investment Scam
2024-07-16,Nicole Long,T649184,7179639475,Closed-No Risk,Risk,2215,Fraud
2024-04-19,Kari Rhodes,T386432,7267253928,Closed-No Risk,Risk,1485,Investment Scam
2024-11-21,Jeffrey Moore,T702913,6997610198,In Progress,Risk,-2546,Fraud
2024-06-10,Christine Davis,T536261,5796406397,Closed-No Risk,Risk,8327,Fraud
2024-06-17,Whitney Wilson,T308834,7327414838,Closed-No Risk,Risk,-9650,Fraud
2024-12-10,Melissa Holt,T613618,6131267832,Closed-No Risk,Risk,-2191,Tax Evasion
2024-09-06,Robin Lowe,T191640,2605450991,In Progress,Risk,-9040,Investment Scam
2024-01-21,Christine Davis,T968891,9849313978,Closed-No Risk,Risk,-1581,Money Laundering
2025-01-09,Kari Rhodes,T704478,1666943958,In Progress,Risk,5991,Tax Evasion
2024-03-09,Robin Lowe,T297282,3647811163,Closed-Risk,Risk,6493,Investment Scam
2024-10-22,Sheila Brown,T444700,4123490281,Closed-Risk,Risk,2578,Money Laundering
2024-03-04,Kari Rhodes,T176193,9660277321,Closed-Risk,Risk,-4507,Tax Evasion
2024-02-10,Martha Anderson,T306626,2953838419,Closed-Risk,Risk,-5083,Investment Scam
2024-09-30,Martha Anderson,T732321,3753921318,In Progress,Risk,2157,Tax Evasion
2024-02-03,Robin Lowe,T918936,7035947223,Closed-No Risk,Risk,9913,Money Laundering
2024-03-05,Sheila Brown,T384140,1850149417,In Progress,Risk,-7803,Tax Evasion
2024-05-06,Martha Anderson,T787444,1680494720,Closed-No Risk,Risk,-5148,Fraud
2024-07-12,Donna Snow,T991006,8548784533,In Progress,Risk,-1869,Tax Evasion
2024-09-10,Kathleen Raymond,T443715,8355095871,Closed-No Risk,Risk,-5827,Fraud
2024-07-04,Nicole Long,T788502,4845711119,Closed-Risk,Risk,8150,Money Laundering
2024-12-23,Ashley Orr,T124594,7761917749,In Progress,Risk,7197,Money Laundering
2024-08-01,Ashley Orr,T364671,8582365364,In Progress,Risk,-4732,Fraud
2025-01-08,Ashley Orr,T567158,9663703148,Closed-Risk,Risk,1075,Investment Scam
2024-07-28,Kari Rhodes,T289419,1992887898,In Progress,Risk,-4314,Investment Scam
2024-03-07,Kathleen Raymond,T863466,6378280195,Closed-Risk,Risk,5246,Fraud
2024-07-08,Sheila Brown,T387916,2472005298,Closed-Risk,Risk,-1704,Fraud
2024-04-28,Sheila Brown,T473387,4032672504,Closed-Risk,Risk,6044,Investment Scam
2024-02-24,William Melton,T765899,6269930392,In Progress,Risk,5460,Investment Scam
2024-11-30,Samuel Barry,T975721,9095686019,In Progress,Risk,-3154,Tax Evasion
2024-09-01,Ryan Mejia,T981389,9656093385,In Progress,Risk,-9244,Investment Scam
2024-11-04,William Melton,T877402,5293992370,In Progress,Risk,6347,Investment Scam
2024-08-31,Nicole Long,T708756,6696174640,In Progress,Risk,-1758,Money Laundering
2024-08-27,Whitney Wilson,T980297,6536513854,Closed-No Risk,Risk,-5806,Investment Scam
2024-11-02,Ryan Mejia,T431741,9107561653,In Progress,Risk,-1251,Tax Evasion
2024-09-07,Robin Lowe,T606072,1578819783,Closed-No Risk,Risk,-2899,Investment Scam
2024-03-13,Whitney Wilson,T953988,1581152336,Closed-No Risk,Risk,1263,Money Laundering
2024-07-17,Kari Rhodes,T585465,5283480082,Closed-Risk,Risk,2449,Fraud
2024-08-16,Christine Davis,T925305,2412299443,Closed-No Risk,Risk,-5878,Money Laundering
2024-07-15,Sheila Brown,T332956,9400274476,Closed-Risk,Risk,-4851,Fraud
2024-02-25,Sheila Brown,T666586,4249746289,Closed-No Risk,Risk,2663,Investment Scam
2024-10-10,Robin Lowe,T101698,5054293882,Closed-No Risk,Risk,-9738,Money Laundering
2024-05-05,Melissa Holt,T820579,9800792031,Closed-Risk,Risk,-7527,Money Laundering
2024-09-15,Melissa Holt,T587485,6701505334,In Progress,Risk,-7822,Tax Evasion
2024-07-11,Kari Rhodes,T989862,3236760110,Closed-No Risk,Risk,-1735,Tax Evasion
2024-09-11,Whitney Wilson,T760379,9484863971,In Progress,Risk,4138,Investment Scam
2024-12-03,Christine Davis,T580438,4814875267,In Progress,Risk,-3690,Investment Scam
2024-02-23,Ryan Mejia,T456322,1480178584,Closed-Risk,Risk,-1138,Money Laundering
2025-01-14,Sheila Brown,T859548,9664541601,In Progress,Risk,-5364,Investment Scam
2024-06-03,Jeffrey Moore,T950097,5250975302,In Progress,Risk,-4253,Tax Evasion
2024-01-22,Martha Anderson,T839784,6091642807,In Progress,Risk,-7230,Investment Scam
2024-10-03,William Melton,T219529,2308353000,Closed-Risk,Risk,-5648,Investment Scam
2024-10-28,Kari Rhodes,T314834,8403640412,Closed-Risk,Risk,-6088,Tax Evasion
2024-11-24,Melissa Holt,T234197,6532452071,In Progress,Risk,3121,Tax Evasion
2025-01-11,Jeffrey Moore,T718180,8940343814,In Progress,Risk,-7183,Tax Evasion
2024-12-04,Melissa Holt,T808783,6643096234,In Progress,Risk,2627,Investment Scam
2024-03-01,Christine Davis,T687122,6387452768,Closed-Risk,Risk,7266,Money Laundering
2024-05-07,Samuel Barry,T225213,3433281698,Closed-No Risk,Risk,4125,Tax Evasion
2024-08-25,Christine Davis,T811239,4419404900,In Progress,Risk,4512,Investment Scam
2024-01-30,Kathleen Raymond,T187563,6105846037,Closed-No Risk,Risk,8325,Fraud
2024-09-07,Christine Davis,T451149,9650978914,In Progress,Risk,-1601,Investment Scam
2024-11-22,Christine Davis,T832150,3984213205,In Progress,Risk,-2671,Tax Evasion
2024-11-24,Sheila Brown,T178171,7171206399,Closed-Risk,Risk,-3664,Tax Evasion
2024-10-05,Ashley Orr,T335731,5140713239,In Progress,Risk,4057,Fraud
2024-06-22,Whitney Wilson,T555093,5225282826,In Progress,Risk,-5892,Fraud
2025-01-10,Donna Snow,T315615,6016443195,Closed-No Risk,Risk,-4506,Investment Scam
2024-06-24,William Melton,T122380,5038560448,Closed-No Risk,Risk,7862,Money Laundering
2024-12-24,Kari Rhodes,T413598,6340418539,In Progress,Risk,7051,Tax Evasion
2024-12-18,Robin Lowe,T599425,3483290990,In Progress,Risk,-7887,Money Laundering
2024-09-08,Kari Rhodes,T104113,7667312808,Closed-No Risk,Risk,-6771,Money Laundering
2024-05-16,Kathleen Raymond,T667955,1698573490,Closed-Risk,Risk,6626,Money Laundering
2024-07-30,Kari Rhodes,T156313,6175141423,In Progress,Risk,3638,Investment Scam
2024-08-27,Ryan Mejia,T639570,6582984426,Closed-No Risk,Risk,-7700,Tax Evasion
2024-05-17,Sheila Brown,T251429,4231597441,In Progress,Risk,-5836,Fraud
2024-03-11,Martha Anderson,T441288,4096654060,Closed-No Risk,Risk,2662,Money Laundering
2024-01-21,Nicole Long,T888784,9803948648,Closed-Risk,Risk,4956,Fraud
2024-07-04,Ashley Orr,T653977,6599517290,Closed-Risk,Risk,5421,Investment Scam
2024-12-17,Sheila Brown,T397819,8338982625,In Progress,Risk,8927,Tax Evasion
2024-09-29,Whitney Wilson,T540738,8229282812,Closed-Risk,Risk,2959,Fraud
2024-10-08,Ryan Mejia,T539490,8963674877,In Progress,Risk,7716,Tax Evasion
2024-07-01,Ashley Orr,T666682,6432613351,Closed-Risk,Risk,-6058,Tax Evasion
2024-02-27,Melissa Holt,T229432,2373742419,Closed-Risk,Risk,1285,Fraud
2024-07-09,Nicole Long,T594044,4483501969,Closed-No Risk,Risk,-2294,Fraud
2024-03-10,William Melton,T312681,2826222988,In Progress,Risk,5221,Fraud
2024-11-27,Ashley Orr,T863033,7476962773,Closed-No Risk,Risk,8451,Investment Scam
2024-03-14,Martha Anderson,T999648,9563085235,Closed-No Risk,Risk,-7916,Investment Scam
2024-07-18,Donna Snow,T699340,9089773133,Closed-Risk,Risk,4020,Fraud
2024-11-10,Sheila Brown,T769187,9746874295,Closed-No Risk,Risk,-64,Investment Scam
2024-08-31,Nicole Long,T892447,5207406527,In Progress,Risk,-9705,Money Laundering
2024-11-18,Ashley Orr,T264296,7164128599,In Progress,Risk,3773,Fraud
2024-01-23,Sheila Brown,T493280,9778778954,Closed-No Risk,Risk,-3021,Money Laundering
2024-02-27,Samuel Barry,T149000,2721407911,Closed-Risk,Risk,-1855,Tax Evasion
2024-07-21,William Melton,T702533,8153159222,Closed-No Risk,Risk,-1164,Tax Evasion
2024-03-14,Kari Rhodes,T137484,5989524249,Closed-No Risk,Risk,-5995,Money Laundering
2024-02-21,Jeffrey Moore,T736011,8848945357,Closed-No Risk,Risk,-6923,Tax Evasion
2024-05-02,Whitney Wilson,T435684,3086815726,Closed-Risk,Risk,5110,Fraud
2024-10-31,Kari Rhodes,T817944,7536193715,Closed-Risk,Risk,6331,Money Laundering
2024-08-17,Samuel Barry,T299156,3241427695,In Progress,Risk,7123,Investment Scam
2024-06-26,Robin Lowe,T575643,3802419925,Closed-No Risk,Risk,3253,Money Laundering
2024-08-26,Kathleen Raymond,T985189,2018535912,Closed-No Risk,Risk,925,Fraud
2024-11-24,Jeffrey Moore,T643026,1295872294,Closed-Risk,Risk,6772,Tax Evasion
2024-11-22,Samuel Barry,T205781,3036500906,In Progress,Risk,4714,Investment Scam
2024-03-05,William Melton,T201698,6715498493,Closed-No Risk,Risk,-1871,Investment Scam
2024-02-01,Whitney Wilson,T120979,7900391241,Closed-No Risk,Risk,-4047,Investment Scam
2024-11-16,Ryan Mejia,T480939,3824049137,In Progress,Risk,629,Investment Scam
2024-10-19,Jeffrey Moore,T226657,4147162811,Closed-No Risk,Risk,7956,Fraud
2024-07-07,Ryan Mejia,T283578,5789358719,Closed-Risk,Risk,-795,Tax Evasion
2024-03-24,Melissa Holt,T564433,2887577695,In Progress,Risk,8191,Investment Scam
2024-01-25,Melissa Holt,T747206,6969339478,Closed-No Risk,Risk,-9924,Fraud
2024-12-07,Ashley Orr,T420291,9113797521,In Progress,Risk,-421,Investment Scam
2024-04-02,Ashley Orr,T517372,4455647401,Closed-Risk,Risk,-6197,Tax Evasion
2024-11-09,Melissa Holt,T607143,4783870392,Closed-Risk,Risk,-3826,Investment Scam
2024-02-19,Ashley Orr,T693526,9062603583,In Progress,Risk,-999,Fraud
2024-08-14,Ashley Orr,T339774,5366612473,In Progress,Risk,-5936,Fraud
2024-03-06,William Melton,T498608,7745952298,Closed-No Risk,Risk,-5066,Money Laundering
2024-08-30,Martha Anderson,T932468,8550945831,In Progress,Risk,-1538,Fraud
2024-04-27,Sheila Brown,T879781,3813366394,In Progress,Risk,-1682,Tax Evasion
2024-12-05,Sheila Brown,T649899,4839990238,Closed-Risk,Risk,-5342,Investment Scam
2024-12-06,Ashley Orr,T593232,7239545055,In Progress,Risk,-7124,Fraud
2024-11-28,Ryan Mejia,T389268,2638198010,In Progress,Risk,9603,Tax Evasion
